seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,mean_ride_hailing_wait_minutes_per_request
47,P0_first_come,elder_dispatch_P0_first_come,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,1018.941,54,21,75,6,1024.941,0.72765,17.272,34,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1754.573,0.0,0.0,0.0,0.0,0.0,0.0,686.541,9.9445
47,P0_first_come,elder_dispatch_P0_first_come,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,31,50,13,0.010526,0.326316,0.526316,0.136842,13,13,0,0,0,0,0,0,0,0,0,0,6.987,8.473,31,0.62,29.359,10.013,64.255,8.428,51,1.0,14,0,0.0,45,0.714286,1018.941,31,37,68,13,1031.941,0.762678,17.202,32,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 2, ""Z6"": 2, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,1936.707,0.0,0.0,0.0,0.0,0.0,1316.952206,770.394,10.012692
47,P4_elder_priority,elder_dispatch_P4_elder_priority,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,1018.941,54,21,75,6,1024.941,0.72765,17.272,34,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1754.573,0.0,0.0,0.0,0.0,0.0,0.0,686.541,9.9445
47,P4_elder_priority,elder_dispatch_P4_elder_priority,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,31,50,13,0.010526,0.326316,0.526316,0.136842,13,13,0,0,0,0,0,0,0,0,0,0,6.987,8.473,31,0.62,29.359,10.013,64.255,8.428,51,1.0,14,0,0.0,45,0.714286,1018.941,31,37,68,13,1031.941,0.762678,17.202,32,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 2, ""Z6"": 2, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,1936.707,0.0,0.0,0.0,0.0,0.0,1316.952206,770.394,10.012692
48,P0_first_come,elder_dispatch_P0_first_come,W0,normal,workday,50,53,52,0.981132,38,37,0.973684,0,0,0,98,98,0,1.0,3,53,39,3,0.030612,0.540816,0.397959,0.030612,3,3,0,0,0,0,0,0,1,1,0,1,6.968,7.981,22,0.564103,24.959,8.0,68.898,4.292,52,0.981132,24,1,0.041667,32,0.484848,1018.941,53,25,78,3,1021.941,0.702781,16.82,32,66,12,12,0,"{""Z1"": 3, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,53,0,0,1882.905,0.0,0.0,0.0,0.0,0.0,0.0,704.562,8.0
48,P0_first_come,elder_dispatch_P0_first_come,W2,heavy_rain,workday,50,53,52,0.981132,38,38,1.0,1,0,0,97,97,0,1.0,2,31,54,10,0.020619,0.319588,0.556701,0.103093,10,10,0,0,0,0,0,0,0,0,0,0,7.825,8.84,36,0.666667,28.536,9.961,69.546,8.4,52,1.0,11,0,0.0,46,0.69697,1018.941,31,43,74,10,1028.941,0.763189,16.473,31,66,12,12,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 3, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,46,0,52,0,0,2072.534,0.0,0.0,0.0,0.0,0.0,1355.566783,819.57,9.961
48,P4_elder_priority,elder_dispatch_P4_elder_priority,W0,normal,workday,50,53,52,0.981132,38,37,0.973684,0,0,0,98,98,0,1.0,3,53,39,3,0.030612,0.540816,0.397959,0.030612,3,3,0,0,0,0,0,0,1,1,0,1,6.968,7.981,22,0.564103,24.959,8.0,68.898,4.292,52,0.981132,24,1,0.041667,32,0.484848,1018.941,53,25,78,3,1021.941,0.702781,16.82,32,66,12,12,0,"{""Z1"": 3, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,53,0,0,1882.905,0.0,0.0,0.0,0.0,0.0,0.0,704.562,8.0
48,P4_elder_priority,elder_dispatch_P4_elder_priority,W2,heavy_rain,workday,50,53,52,0.981132,38,38,1.0,1,0,0,97,97,0,1.0,2,31,54,10,0.020619,0.319588,0.556701,0.103093,10,10,0,0,0,0,0,0,0,0,0,0,7.825,8.84,36,0.666667,28.536,9.961,69.546,8.4,52,1.0,11,0,0.0,46,0.69697,1018.941,31,43,74,10,1028.941,0.763189,16.473,31,66,12,12,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 3, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,46,0,52,0,0,2072.534,0.0,0.0,0.0,0.0,0.0,1355.566783,819.57,9.961
49,P0_first_come,elder_dispatch_P0_first_come,W0,normal,workday,50,58,56,0.965517,36,35,0.972222,0,0,0,104,104,0,1.0,2,63,32,7,0.019231,0.605769,0.307692,0.067308,7,7,0,0,0,0,0,0,2,2,0,1,7.577,7.471,14,0.4375,27.079,9.887,63.812,4.812,56,0.965517,37,2,0.054054,24,0.421053,1018.941,63,17,80,7,1025.941,0.680078,17.628,47,57,12,12,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,58,0,0,1966.242,0.0,0.0,0.0,0.0,0.0,0.0,785.612,9.886857
49,P0_first_come,elder_dispatch_P0_first_come,W2,heavy_rain,workday,50,58,53,0.913793,36,34,0.944444,2,0,0,101,101,0,1.0,1,47,43,10,0.009901,0.465347,0.425743,0.09901,15,10,5,5,5,5,5,0,4,3,0,2,8.501,8.825,24,0.55814,31.325,11.717,68.688,7.284,52,0.928571,26,4,0.153846,34,0.596491,1018.941,47,31,78,10,1028.941,0.747471,16.338,44,57,12,12,0,"{""Z1"": 1, ""Z2"": 1, ""Z3"": 2, ""Z4"": 2, ""Z5"": 1, ""Z6"": 0, ""Z7"": 2, ""Z8"": 1, ""Z9"": 2}",True,True,47,0,56,0,0,2234.357,0.0,0.0,0.0,0.0,0.0,1386.410013,996.214,14.478067
49,P4_elder_priority,elder_dispatch_P4_elder_priority,W0,normal,workday,50,58,56,0.965517,36,35,0.972222,0,0,0,104,104,0,1.0,2,63,32,7,0.019231,0.605769,0.307692,0.067308,7,7,0,0,0,0,0,0,2,2,0,1,7.577,7.471,14,0.4375,27.079,9.887,63.812,4.812,56,0.965517,37,2,0.054054,24,0.421053,1018.941,63,17,80,7,1025.941,0.680078,17.628,47,57,12,12,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,58,0,0,1966.242,0.0,0.0,0.0,0.0,0.0,0.0,785.612,9.886857
