seed,policy,agent_id,day_type,age_group,digital_access,family_assistance,nondigital_unassisted,coupon_policy,coupon_eligible,coupon_reached,coupon_participated,coupon_awarded,public_coupon_participated,elder_reserve_reached,coupon_pool_type,coupon_allocation_rank,coupon_access_channel,public_participation_probability,public_participation_draw,public_dispatch_rank,elder_reserve_rank,community_phone_covered,community_phone_coverage_draw
47,C3_mixed,18,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.03880002701982397,0.4051719411935731,0.331181939349255,False,0.06845269839170534
47,C3_mixed,19,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9916402115412603,0.5827109172944134,0.1239504795549405,False,0.24731116083720925
47,C3_mixed,20,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9802690773249525,0.4519908581455871,0.8057926098021969,False,0.6371903162863307
47,C3_mixed,21,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.7809162482434117,0.6836460719466602,0.2893692339991739,False,0.5875519369160159
47,C3_mixed,22,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.866103073436721,0.32034112542993026,0.02400209598709701,False,0.5000079422243726
47,C3_mixed,23,workday,18-39,True,False,False,C3_mixed,True,True,True,True,True,False,public,21,digital_self,0.8,0.5973172981659977,0.1999576211976054,0.6224832932505899,False,0.2674525071534973
47,C3_mixed,24,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.3755026448336524,0.7436172625254228,0.4987454733835119,False,0.19743889354489078
47,C3_mixed,25,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.8015326670550993,0.006281547524723109,0.3878787321048927,False,0.4218695374388828
47,C3_mixed,26,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9730283447488842,0.3270310694027649,0.9820732423797046,False,0.8164495924195367
47,C3_mixed,27,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.3784917860706048,0.2770650475121766,0.45549705508487714,False,0.6227021091382461
47,C3_mixed,28,workday,18-39,True,False,False,C3_mixed,True,True,True,True,True,False,public,1,digital_self,0.8,0.2117470349053743,0.03630192238212572,0.04432294635007338,False,0.7922553682840262
47,C3_mixed,29,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9117260398584128,0.6589887704408322,0.624114829227023,False,0.6951691600822443
47,C3_mixed,30,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.03303779871924655,0.6376789858993019,0.03148871831849346,False,0.12650479197209746
47,C3_mixed,31,workday,18-39,True,False,False,C3_mixed,True,True,True,True,True,False,public,4,digital_self,0.8,0.5572532984990854,0.0620650524694685,0.3537898319470191,False,0.8859191166053021
47,C3_mixed,32,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.15927740064497628,0.9258678407809408,0.1866965359682753,False,0.5670949594961991
47,C3_mixed,33,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.13922418746097076,0.5112942830298909,0.7656523893982301,False,0.4768843144403965
47,C3_mixed,34,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.4295556804857594,0.6182111506467839,0.40214251665811096,False,0.4601864862322267
47,C3_mixed,35,workday,18-39,True,False,False,C3_mixed,True,True,True,True,True,False,public,22,digital_self,0.8,0.009097608569226786,0.2042078109594694,0.46190497272979547,False,0.8044492576028253
47,C3_mixed,36,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.39413920073524816,0.657291127420435,0.643612972678973,False,0.9375851581623612
47,C3_mixed,37,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.8697192507488399,0.673796770206673,0.29178383527433666,False,0.8532359525027678
47,C3_mixed,38,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.8945079500671025,0.4066823484152841,0.45175391347467353,False,0.38026061205609446
47,C3_mixed,39,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.1952453092565782,0.49066411173612473,0.4224657764808743,False,0.5856824580824944
47,C3_mixed,40,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.3987980924115094,0.6956762813238608,0.9439425646282552,False,0.5342101602652586
47,C3_mixed,41,workday,18-39,True,False,False,C3_mixed,True,True,True,True,True,False,public,19,digital_self,0.8,0.5610696611213498,0.1837231748887799,0.8054596948039591,False,0.715722586760719
47,C3_mixed,42,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.37933297836948976,0.8791964676244823,0.4348379071424768,False,0.4923789611311651
47,C3_mixed,43,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.5485866786208168,0.4980227808658673,0.7512560614775531,False,0.7010311797027136
47,C3_mixed,44,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.982447835404736,0.5633586650468155,0.1297182068939789,False,0.7734614667231141
47,C3_mixed,45,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.23097401082367158,0.4724844420917509,0.2290029915599203,False,0.808981980628999
47,C3_mixed,46,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.44451368039777944,0.4375646594699146,0.9451531262326499,False,0.6748328230243265
47,C3_mixed,47,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.11829987869478092,0.3474791773789727,0.8519524190713607,False,0.01459418204982229
47,C3_mixed,48,workday,18-39,True,False,False,C3_mixed,True,True,True,True,True,False,public,9,digital_self,0.8,0.6166789094007894,0.10822360922472823,0.03173270928665905,False,0.7310718779411597
47,C3_mixed,49,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.6475139255781109,0.836422727250446,0.15047773873401732,False,0.13024534228861906
47,C3_mixed,50,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9296567750845651,0.4146713616048651,0.2641633161141499,False,0.01315267360590622
47,C3_mixed,51,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.6356923646629236,0.2800083250911154,0.9184816373033182,False,0.8110228828174061
47,C3_mixed,52,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.36581446052938354,0.39118499761912534,0.9203589043166653,False,0.27437389176350097
47,C3_mixed,53,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.38826853609915724,0.6194069571220014,0.10690242093710284,False,0.8726987376591818
47,C3_mixed,54,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9098655531886517,0.6532178500422244,0.33995901344917784,False,0.15292828160391164
47,C3_mixed,55,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.714040098333872,0.39304342968828354,0.16060383531302627,False,0.9757292284626496
47,C3_mixed,56,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.2618790397301948,0.26212692148044586,0.5078041781301378,False,0.5711138828814717
47,C3_mixed,57,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.317243954862015,0.3315379690997783,0.43928565272781284,False,0.555237235190534
47,C3_mixed,58,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9337362411471961,0.7226252415038256,0.7753800584657663,False,0.761040435109153
47,C3_mixed,59,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.645715477494144,0.8925412910835728,0.19473425364717148,False,0.6962563304320213
47,C3_mixed,60,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.8931517272563572,0.26572834485898783,0.998929308465352,False,0.34991769466451844
47,C3_mixed,61,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.13633405095944975,0.3282042923522618,0.41735749419244184,False,0.614832596302504
47,C3_mixed,62,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.964171004531854,0.6237021507151259,0.8954037721429207,False,0.9129356216618677
47,C3_mixed,63,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9856242088743274,0.9196907644183415,0.2519409980542442,False,0.44044204642156753
47,C3_mixed,64,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.6217290669836535,0.9847066971868645,0.4185604812270095,False,0.44536203884144276
47,C3_mixed,65,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.8867932380989986,0.7630975831030729,0.12709478746610733,False,0.7267309456685372
47,C3_mixed,66,workday,18-39,True,False,False,C3_mixed,True,True,True,True,True,False,public,14,digital_self,0.8,0.15356912179645485,0.1351418409304988,0.5961511709615842,False,0.4129588279262682
47,C3_mixed,67,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9181463090116386,0.8773662018225702,0.1559867052163743,False,0.737637737074448
47,C3_mixed,68,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.5313924675382833,0.37668622141803804,0.7653413813146215,False,0.27093093303076937
47,C3_mixed,69,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.09918111483542034,0.5044861574839979,0.10407688969153056,False,0.0008698630232913721
47,C3_mixed,70,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.8497954561408236,0.7559991492269403,0.9616619579610103,False,0.52636058479861
47,C3_mixed,71,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.1784552610531368,0.4657308306401666,0.6979840823102342,False,0.5066576258151042
47,C3_mixed,72,workday,18-39,True,False,False,C3_mixed,True,True,True,True,True,False,public,11,digital_self,0.8,0.5317121593718523,0.12537531613813474,0.2745922357625151,False,0.4243519164095803
47,C3_mixed,73,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.5897147933931579,0.2916764306245148,0.56164181870556,False,0.8298070436385216
47,C3_mixed,74,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.5633877869748753,0.7358131608761393,0.1393636239587021,False,0.19148140979150963
47,C3_mixed,75,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.23370401917388134,0.40050598292742756,0.4314353540365547,False,0.2487475061596535
47,C3_mixed,76,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.759450548906898,0.30331679110231274,0.3700981667452768,False,0.5182037635032596
47,C3_mixed,77,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.4020695712027807,0.5905640106120754,0.12252662459086124,False,0.7278547916591123
47,C3_mixed,78,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.19519690199541231,0.6993297800557896,0.6809774778485634,False,0.8006539346723054
47,C3_mixed,79,workday,18-39,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.8,0.7358619070635776,0.6205350167711334,0.05622833943405759,False,0.1393666787382001
47,C3_mixed,80,workday,18-39,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.8,0.9872268987148985,0.22169649820325454,0.33412731929855827,False,0.5906147939727759
47,C3_mixed,81,workday,40-59,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.65,0.04804656601093773,0.9524291700556599,0.13979502364139,False,0.3509322043062506
47,C3_mixed,82,workday,40-59,True,False,False,C3_mixed,True,True,True,True,True,False,public,7,digital_self,0.65,0.37251560941670026,0.098762517999013,0.5844145369658192,False,0.3909391771908703
47,C3_mixed,83,workday,40-59,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.65,0.09247634861696916,0.8189482083378243,0.45488662335520236,False,0.08459067474770222
47,C3_mixed,84,workday,40-59,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.65,0.8905009913643225,0.5431340410741443,0.6989326614446855,False,0.8504632109908388
47,C3_mixed,85,workday,40-59,True,False,False,C3_mixed,True,True,True,True,True,False,public,2,digital_self,0.65,0.13931765153550116,0.05323780863341677,0.6224707654508497,False,0.371481958018949
47,C3_mixed,86,workday,40-59,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.65,0.3801213563762875,0.9832784994209435,0.03302036218407029,False,0.1679223366345961
47,C3_mixed,87,workday,40-59,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.65,0.4293161335729293,0.6091717515842512,0.19280217695992471,False,0.8776375411528431
47,C3_mixed,88,workday,40-59,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.65,0.022604611772671594,0.998917655687901,0.4643138501857038,False,0.553174583771757
47,C3_mixed,89,workday,40-59,True,False,False,C3_mixed,True,True,True,True,True,False,public,3,digital_self,0.65,0.09681893033070736,0.05758539032389964,0.7738935804585247,False,0.48282530255739475
47,C3_mixed,90,workday,40-59,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.65,0.22511848019864952,0.5466055288497835,0.8933984310676284,False,0.7834427151717429
47,C3_mixed,91,workday,40-59,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.65,0.7068220040365752,0.8204061328310217,0.032174834402171164,False,0.9817164259144844
47,C3_mixed,92,workday,40-59,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.65,0.6440318712653901,0.2836744986023225,0.6013366808873559,False,0.6858651634342829
47,C3_mixed,93,workday,40-59,True,False,False,C3_mixed,True,True,True,True,True,False,public,24,digital_self,0.65,0.5069614314580952,0.2066286684286442,0.17972611650913592,False,0.5486707228781086
47,C3_mixed,94,workday,40-59,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.65,0.9710413530848062,0.5894151330217422,0.5739475253422517,False,0.16985569391020688
47,C3_mixed,95,workday,40-59,True,False,False,C3_mixed,True,True,True,False,True,False,,,digital_self,0.65,0.6185657469182255,0.39462659714976656,0.5270235396746203,False,0.28826457563465685
47,C3_mixed,96,workday,40-59,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.65,0.9871434358897202,0.009261477261544807,0.6594755253444237,False,0.6609512759902384
47,C3_mixed,97,workday,40-59,True,False,False,C3_mixed,True,True,False,False,False,False,,,digital_self,0.65,0.7403592144356471,0.3751540840260987,0.10901647417108092,False,0.4463486847451574
